Date;Cocoa;Allegro;NERD;XRP
2024-01-22;4586;30.225;15.25;0.528434
2024-01-23;4668;30.0;15.395;0.514642
2024-01-24;4797;30.52;15.36;0.516131
2024-01-25;4616;30.2;15.41;0.514522
2024-01-26;4687;30.22;15.4;0.532088
2024-01-29;4740;30.135;15.58;0.5362
2024-01-30;4800;30.145;15.52;0.50969
2024-01-31;4810;30.385;15.45;0.501819
2024-02-01;4979;30.97;15.54;0.505453
2024-02-02;5029;30.41;15.77;0.510729
2024-02-05;5242;30.375;15.62;0.507135
2024-02-06;5236;30.65;15.83;0.507543
2024-02-07;5429;31.0;15.82;0.512098
2024-02-08;5864;31.48;15.91;0.514308
2024-02-09;5886;31.665;15.81;0.526005
2024-02-12;5868;32.195;15.81;0.531434
2024-02-13;5995;31.29;15.55;0.526105
2024-02-14;5956;32.045;16.0;0.539601
2024-02-15;5970;32.0;16.12;0.561388
2024-02-16;5704;31.8;15.98;0.565435
2024-02-20;6039;31.86;15.59;0.564507
2024-02-21;6299;31.18;15.56;0.5477
2024-02-22;6132;33.125;15.72;0.543426
2024-02-23;6651;32.87;15.62;0.534025
2024-02-26;6880;33.375;15.65;0.550358
2024-02-27;6743;33.54;15.61;0.586935
2024-02-28;6362;32.35;15.38;0.573301
2024-02-29;6466;32.245;15.36;0.584545
2024-03-01;6769;31.35;15.62;0.601062
2024-03-04;6586;30.75;15.25;0.652217
2024-03-05;7000;30.54;15.08;0.589406
2024-03-06;6549;30.52;15.23;0.610936
2024-03-07;7000;30.8;15.33;0.632403
2024-03-08;6928;31.26;15.27;0.619919
2024-03-11;6728;30.835;15.47;0.725645
2024-03-12;7974;31.09;15.55;0.687248
2024-03-13;7035;30.335;15.58;0.686336
2024-03-14;7473;30.68;15.38;0.669066
2024-03-15;8140;33.06;15.27;0.633157
2024-03-18;8258;32.055;15.415;0.632562
2024-03-19;8080;31.635;15.42;0.585784
2024-03-20;8388;31.61;15.62;0.612888
2024-03-21;8436;32.59;15.55;0.638353
2024-03-22;8872;32.74;15.48;0.608634
2024-03-25;9647;31.59;15.31;0.643196
2024-03-26;9624;31.96;15.37;0.633106
2024-03-27;9897;32.405;15.535;0.614179
2024-03-28;9741;33.085;15.5;0.625231
2024-04-02;9855;32.2;15.31;0.587935
2024-04-03;9425;32.09;15.28;0.571566
2024-04-04;9616;31.655;15.18;0.589341
2024-04-05;9940;30.9;15.25;0.5884
2024-04-08;9713;31.055;15.34;0.618763
2024-04-09;10211;30.75;15.41;0.623419
2024-04-10;10476;31.04;15.11;0.616182
2024-04-11;10435;31.455;15.18;0.609843
2024-04-12;10840;30.94;14.85;0.545358
2024-04-15;10981;31.0;14.53;0.494784
2024-04-16;10038;31.375;14.56;0.496199
2024-04-17;10430;31.89;14.53;0.495845
2024-04-18;11288;33.0;14.47;0.502251
2024-04-19;12250;32.665;14.3692;0.507557
2024-04-22;10950;33.295;14.555;0.559062
2024-04-23;10531;33.325;14.64;0.550483
2024-04-24;11600;32.9;14.61;0.531411
2024-04-25;10800;32.3;14.5;0.528693
2024-04-26;10975;33.27;14.63;0.528511
2024-04-29;9958;34.295;14.87;0.5137
2024-04-30;10050;34.015;14.55;0.496554
2024-05-02;8379;34.2;14.89;0.519926
2024-05-06;8570;36.905;15.2;0.545511
2024-05-07;8610;36.21;15.24;0.531884
2024-05-08;8634;36.415;14.96;0.518839
2024-05-09;8695;37.115;15.09;0.518417
2024-05-10;8891;38.0;15.33;0.502949
2024-05-13;7166;38.06;15.411;0.504744
2024-05-14;9000;38.06;15.65;0.502119
2024-05-15;7781;38.235;15.75;0.517505
2024-05-16;7334;38.39;15.68;0.515546
2024-05-17;7277;38.85;15.66;0.523183
2024-05-20;7209;38.845;15.78;0.535003
2024-05-21;7318;37.635;15.67;0.533383
2024-05-22;7417;37.91;15.6353;0.527278
