WIG;Zloto;Srebro;Platyna;Pallad;Ropa WTI, Cushing ;Ropa Brent Europe ;DJ
0,09547;-0,03625;0,04699;-0,02423;0,09833;0,04044;-0,00156;0,00933
-0,01371;0,00832;-0,07516;0,00993;-0,20095;0,00068;0,07338;-0,03601
-0,12108;-0,03375;-0,02257;-0,07705;-0,12038;-0,08004;-0,10909;-0,05874
-0,04994;0,02115;0,00808;0,05506;-0,07588;0,00918;0,04735;0,08667
0,03878;0,01653;0,01375;0,02189;-0,05425;0,04147;0,10327;0,01648
0,02367;0,01159;-0,02034;-0,08072;-0,06667;-0,03598;-0,01625;-0,03753
-0,1078;-0,01737;-0,02768;-0,14695;-0,24086;-0,04275;-0,11634;0,00194
-0,05871;0,0267;-0,00356;-0,06303;-0,00438;0,03596;0,04348;-0,05446
-0,02473;0,07363;0,09107;-0,03812;-0,20879;-0,04275;-0,00234;-0,11078
-0,0712;-0,04896;-0,0671;-0,01399;-0,11111;-0,15382;-0,19828;0,02572
0,15522;-0,01166;-0,03158;0,04728;0,08438;-0,11412;-0,08471;0,08555
0,02183;0,00363;0,09179;0,08352;0,26801;-0,01273;-0,00479;0,01725
-0,00812;0,02098;-0,0542;-0,05208;-0,15909;0,0165;0,03795;-0,01013
0,15376;0,05154;0,03743;0,08352;0,01892;0,05124;0,04428;0,01876
-0,04882;0,01533;0,05411;0,04665;0,02387;0,18388;0,16864;0,02947
-0,0165;0,02256;-0,01604;0,03876;-0,06736;0,06726;0,08565;-0,04399
0,00637;0,0597;0,09674;0,02239;-0,03333;0,03285;-0,01477;-0,00211
0,03444;-0,0248;-0,03469;-0,00547;-0,07759;-0,05621;-0,0501;-0,06871
-0,0927;-0,04349;-0,04312;-0,02936;0,00312;0,05682;0,06894;-0,05482
-0,09056;0,02675;-0,02039;0,06616;0,02484;0,05265;0,03535;-0,00837
0,04077;0,03485;-0,00712;-0,00177;-0,03636;0,04473;0,06567;-0,12369
-0,04739;-0,02101;-0,01269;0,02842;-0,02201;-0,02765;-0,03028;0,10605
0,10127;0,00678;-0,01006;0,02245;-0,15756;-0,08634;-0,11619;0,05943
0,04042;0,08823;0,05305;0,01014;-0,09924;0,11803;0,16393;-0,06233
-0,0202;0,05847;0,04448;0,11538;0,08475;0,11847;0,1006;-0,0345
