"W1"	"W2"	"W3"
"1"	-1	1	1
"2"	-0.99	0.99	1
"3"	-0.99	1	0.99
"4"	-0.98	0.98	1
"5"	-0.98	0.99	0.99
"6"	-0.98	1	0.98
"7"	-0.97	0.97	1
"8"	-0.97	0.98	0.99
"9"	-0.97	0.99	0.98
"10"	-0.97	1	0.97
"11"	-0.96	0.96	1
"12"	-0.96	0.97	0.99
"13"	-0.96	0.98	0.98
"14"	-0.96	0.99	0.97
"15"	-0.96	1	0.96
"16"	-0.95	0.95	1
"17"	-0.95	0.96	0.99
"18"	-0.95	0.97	0.98
"19"	-0.95	0.98	0.97
"20"	-0.95	0.99	0.96
"21"	-0.95	1	0.95
"22"	-0.94	0.94	1
"23"	-0.94	0.95	0.99
"24"	-0.94	0.96	0.98
"25"	-0.94	0.97	0.97
"26"	-0.94	0.98	0.96
"27"	-0.94	0.99	0.95
"28"	-0.94	1	0.94
"29"	-0.93	0.93	1
"30"	-0.93	0.94	0.99
"31"	-0.93	0.95	0.98
"32"	-0.93	0.96	0.97
"33"	-0.93	0.97	0.96
"34"	-0.93	0.98	0.95
"35"	-0.93	0.99	0.94
"36"	-0.93	1	0.93
"37"	-0.92	0.92	1
"38"	-0.92	0.93	0.99
"39"	-0.92	0.94	0.98
"40"	-0.92	0.95	0.97
"41"	-0.92	0.96	0.96
"42"	-0.92	0.97	0.95
"43"	-0.92	0.98	0.94
"44"	-0.92	0.99	0.93
"45"	-0.92	1	0.92
"46"	-0.91	0.91	1
"47"	-0.91	0.92	0.99
"48"	-0.91	0.93	0.98
"49"	-0.91	0.94	0.97
"50"	-0.91	0.95	0.96
"51"	-0.91	0.96	0.95
"52"	-0.91	0.97	0.94
"53"	-0.91	0.98	0.93
"54"	-0.91	0.99	0.92
"55"	-0.91	1	0.91
"56"	-0.9	0.9	1
"57"	-0.9	0.91	0.99
"58"	-0.9	0.92	0.98
"59"	-0.9	0.93	0.97
"60"	-0.9	0.94	0.96
"61"	-0.9	0.95	0.95
"62"	-0.9	0.96	0.94
"63"	-0.9	0.97	0.93
"64"	-0.9	0.98	0.92
"65"	-0.9	0.99	0.91
"66"	-0.9	1	0.9
"67"	-0.89	0.89	1
"68"	-0.89	0.9	0.99
"69"	-0.89	0.91	0.98
"70"	-0.89	0.92	0.97
"71"	-0.89	0.93	0.96
"72"	-0.89	0.94	0.95
"73"	-0.89	0.95	0.94
"74"	-0.89	0.96	0.93
"75"	-0.89	0.97	0.92
"76"	-0.89	0.98	0.91
"77"	-0.89	0.99	0.9
"78"	-0.89	1	0.89
"79"	-0.88	0.88	1
"80"	-0.88	0.89	0.99
"81"	-0.88	0.9	0.98
"82"	-0.88	0.91	0.97
"83"	-0.88	0.92	0.96
"84"	-0.88	0.93	0.95
"85"	-0.88	0.94	0.94
"86"	-0.88	0.95	0.93
"87"	-0.88	0.96	0.92
"88"	-0.88	0.97	0.91
"89"	-0.88	0.98	0.9
"90"	-0.88	0.99	0.89
