"W1" "W2" "W3" "W4"
"1" 1 0 0 0
"2" 0.99 0.01 0 0
"3" 0.99 0 0.01 0
"4" 0.99 0 0 0.01
"5" 0.98 0.02 0 0
"6" 0.98 0.01 0.01 0
"7" 0.98 0.01 0 0.01
"8" 0.98 0 0.02 0
"9" 0.98 0 0.01 0.01
"10" 0.98 0 0 0.02
"11" 0.97 0.03 0 0
"12" 0.97 0.02 0.01 0
"13" 0.97 0.02 0 0.01
"14" 0.97 0.01 0.02 0
"15" 0.97 0.01 0.01 0.01
"16" 0.97 0.01 0 0.02
"17" 0.97 0 0.03 0
"18" 0.97 0 0.02 0.01
"19" 0.97 0 0.01 0.02
"20" 0.97 0 0 0.03
"21" 0.96 0.04 0 0
"22" 0.96 0.03 0.01 0
"23" 0.96 0.03 0 0.01
"24" 0.96 0.02 0.02 0
"25" 0.96 0.02 0.01 0.01
"26" 0.96 0.02 0 0.02
"27" 0.96 0.01 0.03 0
"28" 0.96 0.01 0.02 0.01
"29" 0.96 0.01 0.01 0.02
"30" 0.96 0.01 0 0.03
"31" 0.96 0 0.04 0
"32" 0.96 0 0.03 0.01
"33" 0.96 0 0.02 0.02
"34" 0.96 0 0.01 0.03
"35" 0.96 0 0 0.04
"36" 0.95 0.05 0 0
"37" 0.95 0.04 0.01 0
"38" 0.95 0.04 0 0.01
"39" 0.95 0.03 0.02 0
"40" 0.95 0.03 0.01 0.01
"41" 0.95 0.03 0 0.02
"42" 0.95 0.02 0.03 0
"43" 0.95 0.02 0.02 0.01
"44" 0.95 0.02 0.01 0.02
"45" 0.95 0.02 0 0.03
"46" 0.95 0.01 0.04 0
"47" 0.95 0.01 0.03 0.01
"48" 0.95 0.01 0.02 0.02
"49" 0.95 0.01 0.01 0.03
"50" 0.95 0.01 0 0.04
"51" 0.95 0 0.05 0
"52" 0.95 0 0.04 0.01
"53" 0.95 0 0.03 0.02
"54" 0.95 0 0.02 0.03
"55" 0.95 0 0.01 0.04
"56" 0.95 0 0 0.05
"57" 0.94 0.06 0 0
"58" 0.94 0.05 0.01 0
"59" 0.94 0.05 0 0.01
"60" 0.94 0.04 0.02 0
"61" 0.94 0.04 0.01 0.01
"62" 0.94 0.04 0 0.02
"63" 0.94 0.03 0.03 0
"64" 0.94 0.03 0.02 0.01
"65" 0.94 0.03 0.01 0.02
"66" 0.94 0.03 0 0.03
"67" 0.94 0.02 0.04 0
"68" 0.94 0.02 0.03 0.01
"69" 0.94 0.02 0.02 0.02
"70" 0.94 0.02 0.01 0.03
"71" 0.94 0.02 0 0.04
"72" 0.94 0.01 0.05 0
"73" 0.94 0.01 0.04 0.01
"74" 0.94 0.01 0.03 0.02
"75" 0.94 0.01 0.02 0.03
"76" 0.94 0.01 0.01 0.04
"77" 0.94 0.01 0 0.05
"78" 0.94 0 0.06 0
"79" 0.94 0 0.05 0.01
"80" 0.94 0 0.04 0.02
"81" 0.94 0 0.03 0.03
"82" 0.94 0 0.02 0.04
"83" 0.94 0 0.01 0.05
"84" 0.94 0 0 0.06
"85" 0.93 0.07 0 0
"86" 0.93 0.06 0.01 0
"87" 0.93 0.06 0 0.01
"88" 0.93 0.05 0.02 0
"89" 0.93 0.05 0.01 0.01
"90" 0.93 0.05 0 0.02
"91" 0.93 0.04 0.03 0
"92" 0.93 0.04 0.02 0.01
"93" 0.93 0.04 0.01 0.02
"94" 0.93 0.04 0 0.03
"95" 0.93 0.03 0.04 0
"96" 0.93 0.03 0.03 0.01
"97" 0.93 0.03 0.02 0.02
"98" 0.93 0.03 0.01 0.03
"99" 0.93 0.03 0 0.04
"100" 0.93 0.02 0.05 0
"101" 0.93 0.02 0.04 0.01
"102" 0.93 0.02 0.03 0.02
"103" 0.93 0.02 0.02 0.03
"104" 0.93 0.02 0.01 0.04
"105" 0.93 0.02 0 0.05
"106" 0.93 0.01 0.06 0
"107" 0.93 0.01 0.05 0.01
"108" 0.93 0.01 0.04 0.02
"109" 0.93 0.01 0.03 0.03
"110" 0.93 0.01 0.02 0.04
"111" 0.93 0.01 0.01 0.05
"112" 0.93 0.01 0 0.06
"113" 0.93 0 0.07 0
"114" 0.93 0 0.06 0.01
"115" 0.93 0 0.05 0.02
"116" 0.93 0 0.04 0.03
"117" 0.93 0 0.03 0.04
"118" 0.93 0 0.02 0.05
"119" 0.93 0 0.01 0.06
"120" 0.93 0 0 0.07
"121" 0.92 0.08 0 0
"122" 0.92 0.07 0.01 0
"123" 0.92 0.07 0 0.01
"124" 0.92 0.06 0.02 0
"125" 0.92 0.06 0.01 0.01
"126" 0.92 0.06 0 0.02
"127" 0.92 0.05 0.03 0
"128" 0.92 0.05 0.02 0.01
"129" 0.92 0.05 0.01 0.02
"130" 0.92 0.05 0 0.03
"131" 0.92 0.04 0.04 0
"132" 0.92 0.04 0.03 0.01
"133" 0.92 0.04 0.02 0.02
"134" 0.92 0.04 0.01 0.03
"135" 0.92 0.04 0 0.04
"136" 0.92 0.03 0.05 0
"137" 0.92 0.03 0.04 0.01
"138" 0.92 0.03 0.03 0.02
"139" 0.92 0.03 0.02 0.03
"140" 0.92 0.03 0.01 0.04
"141" 0.92 0.03 0 0.05
"142" 0.92 0.02 0.06 0
"143" 0.92 0.02 0.05 0.01
"144" 0.92 0.02 0.04 0.02
"145" 0.92 0.02 0.03 0.03
"146" 0.92 0.02 0.02 0.04
"147" 0.92 0.02 0.01 0.05
"148" 0.92 0.02 0 0.06
"149" 0.92 0.01 0.07 0
"150" 0.92 0.01 0.06 0.01
"151" 0.92 0.01 0.05 0.02
"152" 0.92 0.01 0.04 0.03
"153" 0.92 0.01 0.03 0.04
"154" 0.92 0.01 0.02 0.05
"155" 0.92 0.01 0.01 0.06
"156" 0.92 0.01 0 0.07
"157" 0.92 0 0.08 0
"158" 0.92 0 0.07 0.01
"159" 0.92 0 0.06 0.02
"160" 0.92 0 0.05 0.03
"161" 0.92 0 0.04 0.04
"162" 0.92 0 0.03 0.05
"163" 0.92 0 0.02 0.06
"164" 0.92 0 0.01 0.07
"165" 0.92 0 0 0.08
"166" 0.91 0.09 0 0
"167" 0.91 0.08 0.01 0
"168" 0.91 0.08 0 0.01
"169" 0.91 0.07 0.02 0
"170" 0.91 0.07 0.01 0.01
"171" 0.91 0.07 0 0.02
"172" 0.91 0.06 0.03 0
"173" 0.91 0.06 0.02 0.01
"174" 0.91 0.06 0.01 0.02
"175" 0.91 0.06 0 0.03
"176" 0.91 0.05 0.04 0
"177" 0.91 0.05 0.03 0.01
"178" 0.91 0.05 0.02 0.02
"179" 0.91 0.05 0.01 0.03
"180" 0.91 0.05 0 0.04
"181" 0.91 0.04 0.05 0
"182" 0.91 0.04 0.04 0.01
"183" 0.91 0.04 0.03 0.02
"184" 0.91 0.04 0.02 0.03
"185" 0.91 0.04 0.01 0.04
"186" 0.91 0.04 0 0.05
"187" 0.91 0.03 0.06 0
"188" 0.91 0.03 0.05 0.01
"189" 0.91 0.03 0.04 0.02
"190" 0.91 0.03 0.03 0.03
"191" 0.91 0.03 0.02 0.04
"192" 0.91 0.03 0.01 0.05
"193" 0.91 0.03 0 0.06
"194" 0.91 0.02 0.07 0
"195" 0.91 0.02 0.06 0.01
"196" 0.91 0.02 0.05 0.02
"197" 0.91 0.02 0.04 0.03
"198" 0.91 0.02 0.03 0.04
"199" 0.91 0.02 0.02 0.05
"200" 0.91 0.02 0.01 0.06
"201" 0.91 0.02 0 0.07
"202" 0.91 0.01 0.08 0
"203" 0.91 0.01 0.07 0.01
"204" 0.91 0.01 0.06 0.02
"205" 0.91 0.01 0.05 0.03
"206" 0.91 0.01 0.04 0.04
"207" 0.91 0.01 0.03 0.05
"208" 0.91 0.01 0.02 0.06
"209" 0.91 0.01 0.01 0.07
"210" 0.91 0.01 0 0.08
"211" 0.91 0 0.09 0
"212" 0.91 0 0.08 0.01
"213" 0.91 0 0.07 0.02
"214" 0.91 0 0.06 0.03
"215" 0.91 0 0.05 0.04
"216" 0.91 0 0.04 0.05
"217" 0.91 0 0.03 0.06
"218" 0.91 0 0.02 0.07
"219" 0.91 0 0.01 0.08
"220" 0.91 0 0 0.09
"221" 0.9 0.1 0 0
"222" 0.9 0.09 0.01 0
"223" 0.9 0.09 0 0.01
"224" 0.9 0.08 0.02 0
"225" 0.9 0.08 0.01 0.01
"226" 0.9 0.08 0 0.02
"227" 0.9 0.07 0.03 0
"228" 0.9 0.07 0.02 0.01
"229" 0.9 0.07 0.01 0.02
"230" 0.9 0.07 0 0.03
"231" 0.9 0.06 0.04 0
